county,date,spreading_prob
Avery,2021-11-30,0.997333333333333
Avery,2021-12-01,0.998666666666667
Avery,2021-12-02,0.999
Avery,2021-12-03,0.999
Avery,2021-12-04,0.999333333333333
Avery,2021-12-05,0.999333333333333
Avery,2021-12-06,0.999333333333333
Avery,2021-12-07,0.999333333333333
Avery,2021-12-08,0.999666666666667
Avery,2021-12-09,0.999666666666667
Avery,2021-12-10,0.999666666666667
Avery,2021-12-11,1
Avery,2021-12-12,1
Avery,2021-12-13,0.999
Avery,2021-12-14,0.999
Avery,2021-12-15,0.998666666666667
Avery,2021-12-16,0.997666666666667
Avery,2021-12-17,0.996333333333333
Avery,2021-12-18,0.994
Avery,2021-12-19,0.991666666666667
Avery,2021-12-20,0.989333333333333
Avery,2021-12-21,0.985
Avery,2021-12-22,0.976
Avery,2021-12-23,0.969666666666667
Avery,2021-12-24,0.962333333333333
Avery,2021-12-25,0.950666666666667
Avery,2021-12-26,0.944
Avery,2021-12-27,0.934
Avery,2021-12-28,0.926666666666667
Avery,2021-12-29,0.918
Avery,2021-12-30,0.906333333333333
Avery,2021-12-31,0.906333333333333
Avery,2022-01-01,0.906333333333333
Avery,2022-01-02,0.906333333333333
Avery,2022-01-03,0.906333333333333
Avery,2022-01-04,0.906333333333333
Avery,2022-01-05,0.906333333333333
Avery,2022-01-06,0.906333333333333
Avery,2022-01-07,0.906333333333333
Avery,2022-01-08,0.906333333333333
Avery,2022-01-09,0.906333333333333
Avery,2022-01-10,0.906333333333333
Avery,2022-01-11,0.906333333333333
Avery,2022-01-12,0.906333333333333
Avery,2022-01-13,0.906333333333333
Beaufort,2021-10-08,0.423333333333333
Beaufort,2021-10-09,0.383
Beaufort,2021-10-10,0.333666666666667
Beaufort,2021-10-11,0.275333333333333
Beaufort,2021-10-12,0.219333333333333
Beaufort,2021-10-13,0.167666666666667
Beaufort,2021-10-14,0.121333333333333
Beaufort,2021-10-15,0.089
Beaufort,2021-10-16,0.0636666666666667
Beaufort,2021-10-17,0.0486666666666667
Beaufort,2021-10-18,0.0413333333333333
Beaufort,2021-10-19,0.0356666666666667
Beaufort,2021-10-20,0.0343333333333333
Beaufort,2021-10-21,0.032
Beaufort,2021-10-22,0.0296666666666667
Beaufort,2021-10-23,0.0266666666666667
Beaufort,2021-10-24,0.0223333333333333
Beaufort,2021-10-25,0.0173333333333333
Beaufort,2021-10-26,0.013
Beaufort,2021-10-27,0.00466666666666667
Beaufort,2021-10-28,0.003
Beaufort,2021-10-29,0.00133333333333333
Beaufort,2021-10-30,0.001
Beaufort,2021-10-31,0.000666666666666667
Beaufort,2021-11-01,0.000666666666666667
Beaufort,2021-11-02,0.000333333333333333
Beaufort,2021-11-03,0.000333333333333333
Beaufort,2021-11-04,0.000666666666666667
Beaufort,2021-11-05,0.00166666666666667
Beaufort,2021-11-06,0.00333333333333333
Beaufort,2021-11-07,0.00866666666666667
Beaufort,2021-11-08,0.0233333333333333
Beaufort,2021-11-09,0.0626666666666667
Beaufort,2021-11-10,0.142
Beaufort,2021-11-11,0.278333333333333
Beaufort,2021-11-12,0.470666666666667
Beaufort,2021-11-13,0.689666666666667
Beaufort,2021-11-14,0.847333333333333
Beaufort,2021-11-15,0.938333333333333
Beaufort,2021-11-16,0.976333333333333
Beaufort,2021-11-17,0.992333333333333
Beaufort,2021-11-18,0.995666666666667
Beaufort,2021-11-19,0.998
Beaufort,2021-11-20,0.998666666666667
Beaufort,2021-11-21,0.999
Beaufort,2021-11-22,0.999333333333333
Beaufort,2021-11-23,0.999666666666667
Beaufort,2021-11-24,0.999333333333333
Beaufort,2021-11-25,0.998666666666667
Beaufort,2021-11-26,0.998
Beaufort,2021-11-27,0.996666666666667
Beaufort,2021-11-28,0.994
Beaufort,2021-11-29,0.981333333333333
Beaufort,2021-11-30,0.964333333333333
Beaufort,2021-12-01,0.934
Beaufort,2021-12-02,0.878333333333333
Beaufort,2021-12-03,0.808
Beaufort,2021-12-04,0.719
Beaufort,2021-12-05,0.626333333333333
Beaufort,2021-12-06,0.547666666666667
Beaufort,2021-12-07,0.483333333333333
Beaufort,2021-12-08,0.429333333333333
